c graph in DIMACS format 
p edge 256 32640
e 1 2 35159898
e 1 3 11092876
e 1 4 13347451
e 1 5 10609075
e 1 6 22062299
e 1 7 23696150
e 1 8 22544806
e 1 9 18260386
e 1 10 10508877
e 1 11 22902985
e 1 12 31945586
e 1 13 26604559
e 1 14 23793165
e 1 15 22958656
e 1 16 15738660
e 1 17 22927552
e 1 18 37652842
e 1 19 19998852
e 1 20 22952832
e 1 21 22956523
e 1 22 22956581
e 1 23 22983093
e 1 24 22223930
e 1 25 10389341
e 1 26 12168126
e 1 27 22242215
e 1 28 18863139
e 1 29 22941651
e 1 30 22960184
e 1 31 10941009
e 1 32 22953780
e 1 33 29827512
e 1 34 19776579
e 1 35 22958755
e 1 36 23105719
e 1 37 22946285
e 1 38 20620794
e 1 39 22933884
e 1 40 7149134
e 1 41 19939874
e 1 42 22958286
e 1 43 21091687
e 1 44 22948948
e 1 45 10405976
e 1 46 22959522
e 1 47 19145301
e 1 48 22954678
e 1 49 6283710
e 1 50 22953079
e 1 51 8842066
e 1 52 22950157
e 1 53 22953318
e 1 54 16540301
e 1 55 35417650
e 1 56 22907532
e 1 57 23026790
e 1 58 22957628
e 1 59 20082114
e 1 60 22956809
e 1 61 22955207
e 1 62 26262837
e 1 63 25700656
e 1 64 22955172
e 1 65 14188669
e 1 66 11521133
e 1 67 11921080
e 1 68 12144052
e 1 69 22951676
e 1 70 22990246
e 1 71 12747004
e 1 72 22247377
e 1 73 8085518
e 1 74 22959512
e 1 75 22955252
e 1 76 20736707
e 1 77 22957859
e 1 78 9602658
e 1 79 23167909
e 1 80 22344355
e 1 81 22943450
e 1 82 22956657
e 1 83 31881925
e 1 84 21605515
e 1 85 22955108
e 1 86 14683515
e 1 87 22940710
e 1 88 37767215
e 1 89 22954655
e 1 90 23048088
e 1 91 16814932
e 1 92 17876816
e 1 93 22957803
e 1 94 36462379
e 1 95 22930816
e 1 96 23017034
e 1 97 23006645
e 1 98 22920802
e 1 99 11378543
e 1 100 22931924
e 1 101 20129459
e 1 102 22955116
e 1 103 23233677
e 1 104 9696480
e 1 105 17082953
e 1 106 22957889
e 1 107 22956365
e 1 108 24822854
e 1 109 22963908
e 1 110 13891849
e 1 111 7686172
e 1 112 52195911
e 1 113 22943896
e 1 114 11487731
e 1 115 20690712
e 1 116 22639225
e 1 117 22957942
e 1 118 19201975
e 1 119 20728854
e 1 120 22820759
e 1 121 22840811
e 1 122 22876703
e 1 123 21512905
e 1 124 21918269
e 1 125 15333653
e 1 126 22956090
e 1 127 19661354
e 1 128 9223572
e 1 129 18810859
e 1 130 22932003
e 1 131 31380789
e 1 132 18799266
e 1 133 22958985
e 1 134 18275472
e 1 135 22929579
e 1 136 22903965
e 1 137 23416902
e 1 138 8125262
e 1 139 22830618
e 1 140 20338645
e 1 141 11179322
e 1 142 22829593
e 1 143 24956362
e 1 144 22946613
e 1 145 22303684
e 1 146 17944518
e 1 147 22954972
e 1 148 36570525
e 1 149 21003374
e 1 150 22968089
e 1 151 22966837
e 1 152 23281206
e 1 153 9919809
e 1 154 9116612
e 1 155 13531278
e 1 156 13886590
e 1 157 22957859
e 1 158 26981077
e 1 159 22823006
e 1 160 22957859
e 1 161 22958422
e 1 162 29510528
e 1 163 22872735
e 1 164 10428184
e 1 165 22955214
e 1 166 12673439
e 1 167 13271732
e 1 168 9076795
e 1 169 13415283
e 1 170 22956776
e 1 171 22957859
e 1 172 10718650
e 1 173 22958576
e 1 174 22968803
e 1 175 15100599
e 1 176 23015457
e 1 177 33996767
e 1 178 13848751
e 1 179 15374914
e 1 180 22830037
e 1 181 22929586
e 1 182 37170668
e 1 183 7727001
e 1 184 22948536
e 1 185 24689650
e 1 186 28797855
e 1 187 22884189
e 1 188 22958240
e 1 189 16402010
e 1 190 20645221
e 1 191 22918326
e 1 192 22807166
e 1 193 19723340
e 1 194 22970212
e 1 195 22957859
e 1 196 22974717
e 1 197 22854795
e 1 198 19412477
e 1 199 30796346
e 1 200 22957583
e 1 201 22957859
e 1 202 22845926
e 1 203 16962010
e 1 204 9501301
e 1 205 10426062
e 1 206 9121050
e 1 207 22974349
e 1 208 11650473
e 1 209 22957859
e 1 210 32417154
e 1 211 23345968
e 1 212 19289437
e 1 213 22824509
e 1 214 22952609
e 1 215 16687540
e 1 216 22949177
e 1 217 9996466
e 1 218 31857137
e 1 219 22920103
e 1 220 22944943
e 1 221 16401697
e 1 222 22857026
e 1 223 9318993
e 1 224 22878351
e 1 225 22857279
e 1 226 9383321
e 1 227 22958476
e 1 228 17613046
e 1 229 22957859
e 1 230 22945380
e 1 231 17497678
e 1 232 33374937
e 1 233 22906044
e 1 234 13766457
e 1 235 18395095
e 1 236 17478488
e 1 237 18578913
e 1 238 18617791
e 1 239 22957859
e 1 240 22957859
e 1 241 15823695
e 1 242 22858500
e 1 243 11775198
e 1 244 22957859
e 1 245 22957859
e 1 246 20424680
e 1 247 22959933
e 1 248 22957859
e 1 249 22957859
e 1 250 26494321
e 1 251 12245605
e 1 252 22953044
e 1 253 22954809
e 1 254 22957859
e 1 255 7440826
e 1 256 22957859
e 2 3 13263810
e 2 4 34959429
e 2 5 9270408
e 2 6 20997201
e 2 7 19973691
e 2 8 20933112
e 2 9 14698017
e 2 10 8595182
e 2 11 20989290
e 2 12 31899765
e 2 13 13586908
e 2 14 22130478
e 2 15 21619989
e 2 16 13610570
e 2 17 22098462
e 2 18 37599806
e 2 19 18085157
e 2 20 21614165
e 2 21 22127433
e 2 22 21031547
e 2 23 21021256
e 2 24 20885263
e 2 25 8475646
e 2 26 10678941
e 2 27 20328520
e 2 28 16717026
e 2 29 21602983
e 2 30 21042049
e 2 31 9027314
e 2 32 21030735
e 2 33 28461061
e 2 34 17853103
e 2 35 21033746
e 2 36 20845900
e 2 37 21589376
e 2 38 23681383
e 2 39 21010839
e 2 40 37773613
e 2 41 18601207
e 2 42 22129196
e 2 43 19168086
e 2 44 21607602
e 2 45 8492281
e 2 46 22906486
e 2 47 22399282
e 2 48 22908086
e 2 49 4354078
e 2 50 21614412
e 2 51 7503398
e 2 52 21036462
e 2 53 21039623
e 2 54 14626606
e 2 55 34588560
e 2 56 20984487
e 2 57 20966817
e 2 58 21034646
e 2 59 18116946
e 2 60 21033764
